deutsch_translated,deutsch
the fork,die Gabel
the knife,das Messer
the spoon,der Löffel
the dish,der Teller
the cup,die Tasse
the glass,das Glas
the bowl,die Schüssel
the pan,die Pfanne
the pot,der Topf
the cutting board,das Schneidebrett
the refrigerator,der Kühlschrank
the stove,der Herd
the oven,der Backofen
the microwave,die Mikrowelle
the pantry,die Speisekammer
the breakfast,das Frühstück
the lunch,das Mittagessen
the dinner,das Abendessen
the snack,der Snack
the starter,die Vorspeise
the main course,die Hauptspeise
the dessert,das Dessert
the dessert,der Nachtisch
the supplement,die Beilage
the sauce,die Soße
the spice,das Gewürz
the salt,das Salz
the pepper,der Pfeffer
the sugar,der Zucker
the oil,das Öl
the vinegar,der Essig
the butter,die Butter
the margarine,die Margarine
the flour,das Mehl
the dough,der Teig
the recipe,das Rezept
the ingredient,die Zutat
the portion,die Portion
the bite,der Happen
the bite,der Bissen
taste good,schmecken
cook,kochen
fry,braten
bake,backen
grill,grillen
dampen,dämpfen
season,würzen
stir,rühren
cut,schneiden
peel,schälen
