deutsch_translated,deutsch
the politics,die Politik
the democracy,die Demokratie
the Republic,die Republik
the Federal Republic of Germany,die Bundesrepublik Deutschland
the basic law,das Grundgesetz
the constitution,die Verfassung
the Bundestag,der Bundestag
the Federal Council,der Bundesrat
the federal government,die Bundesregierung
the Federal Chancellor,der Bundeskanzler
the Chancellor,die Bundeskanzlerin
the Federal President,der Bundespräsident
the Federal President,die Bundespräsidentin
the minister,der Minister
the minister,die Ministerin
the ministry,das Ministerium
the parliament,das Parlament
the MP,der Abgeordnete
the MP,die Abgeordnete
the faction,die Fraktion
the coalition,die Koalition
the opposition,die Opposition
the majority,die Mehrheit
the minority,die Minderheit
the party,die Partei
the People's Party,die Volkspartei
the SPD,die SPD
the CDU,die CDU
the CSU,die CSU
the Greens,die Grünen
the FDP,die FDP
the left,die Linke
the AfD,die AfD
the election campaign,der Wahlkampf
the choice,die Wahl
the federal election,die Bundestagswahl
the state election,die Landtagswahl
the European elections,die Europawahl
the local elections,die Kommunalwahl
the right to vote,das Wahlrecht
the voter turnout,die Wahlbeteiligung
the voter,der Wähler
the voter,die Wählerin
the voice,die Stimme
the first vote,die Erststimme
the second vote,die Zweitstimme
the election result,das Wahlergebnis
the legislation,die Gesetzgebung
the law,das Gesetz
the bill,der Gesetzentwurf
the vote,die Abstimmung
the debate,die Debatte
the government,die Regierung
govern,regieren
the term of office,die Amtszeit
the change of government,der Regierungswechsel
the power,die Macht
the separation of powers,die Gewaltenteilung
the legislature,die Legislative
the executive branch,die Exekutive
the judiciary,die Judikative
the Federal Constitutional Court,das Bundesverfassungsgericht
the rule of law,der Rechtsstaat
democratization,die Demokratisierung
the political party,die politische Partei
the political system,das politische System
foreign policy,die Außenpolitik
domestic politics,die Innenpolitik
social policy,die Sozialpolitik
economic policy,die Wirtschaftspolitik
environmental policy,die Umweltpolitik
the education policy,die Bildungspolitik
